#   lon        lat
 -138.873    -39.683
 -167.877    -35.972
 -161.820    -31.014
 -135.153    -38.882
 -175.110    -35.410
 -144.321    -39.274
 -124.708    -40.854
 -126.129    -39.835
 -142.876    -11.539
 -125.924    -34.572
 -138.271    -12.021
 -146.866    -19.114
 -159.012    -27.267
 -133.133    -31.605
 -157.794    -23.282
 -170.968    -23.109
 -147.860    -18.707
 -135.151    -28.270
 -122.904    -36.064
 -172.368    -27.753
 -146.990    -21.271
 -134.329    -27.314
 -165.062    -24.984
 -149.453    -19.501
 -147.214    -16.139
 -167.936    -23.793
 -163.088     27.084
 -161.744    -61.523
 -163.880    -58.964
  173.137    -53.673
 -176.141    -45.344
 -168.763    -34.006
 -159.661    -55.433
  162.667      2.674
  179.824      7.984
  146.120      5.080
  147.772      2.977
 -173.297     24.337
 -126.523     -7.052
  177.038      5.288
 -175.570      1.176
 -156.849      3.554
 -178.413      6.096
 -169.777     10.173
 -158.378      3.224
 -162.976    -41.513
  175.797      3.052
 -167.408      7.050
 -172.194     12.617
 -179.225     11.864
 -161.778      3.295
 -164.368      3.034
 -148.449     12.958
 -140.566      5.092
 -146.037      5.230
 -130.995      3.788
 -152.759     -2.015
 -163.718      1.110
 -152.136      1.300
 -156.373      4.511
 -155.009     -5.152
  145.241     41.563
  168.433     48.359
 -178.199     20.153
  153.479      3.357
 -157.553    -47.952
 -172.701    -45.250
 -163.546    -57.848
 -153.563    -61.549
 -164.296    -64.113
 -123.800      7.076
 -125.309     10.736
 -123.279      9.910
 -121.027      6.128
 -118.384      8.748
 -119.959      6.662
 -120.200      9.320
 -126.213     11.401
 -125.117     10.776
  163.769    -38.315
  161.623    -42.553
  153.404    -41.867
  158.001    -43.495
 -102.991    -45.007
 -103.008    -30.009
 -102.937    -59.147
  -95.440    -68.285
 -156.978    -75.647
 -136.519    -70.680
 -109.087    -69.659
 -146.349    -72.355
  172.732      4.894
  164.515      8.476
 -170.497     -1.567
  162.833      6.634
  173.197      0.030
 -166.823     45.095
 -166.787     43.946
 -165.434     42.170
  172.039     20.288
  158.241      8.360
 -148.289    -55.684
 -170.776    -59.370
 -161.032    -51.516
  172.346    -60.707
  160.673    -59.815
 -164.103    -62.464
  139.050     -1.096
  152.329      3.731
  132.116     11.036
  151.990     18.463
  154.866     16.220
  178.817     12.977
  150.716    -49.993
  155.732    -44.100
  156.320    -48.531
  149.847    -48.076
  173.632    -54.163
  151.454    -54.408
  155.461    -13.831
 -170.810    -32.960
 -164.745    -37.404
 -155.656    -32.115
 -164.770    -34.702
  178.962    -59.199
  175.343     13.593
 -165.614     -0.026
 -161.097     13.531
 -140.162      8.961
 -139.954      4.863
 -140.046     -5.042
  -74.241    -66.422
 -128.458    -68.257
  -84.160    -67.205
 -139.526    -71.410
 -104.610    -69.013
 -151.296    -73.907
  151.271     19.355
  170.340     16.108
 -153.490     26.656
 -173.973    -26.817
  177.415    -54.187
  148.093    -54.263
  176.746    -57.262
 -178.743    -49.214
 -169.968    -55.541
